,HighGroup,LowGroup
2012-01-18,1.0038503170680213,1.0027113853296474
2012-01-19,1.0,1.0
2012-01-20,1.0,1.0
2012-01-21,1.0,1.0
2012-01-22,1.0,1.0
2012-01-23,1.0,1.0
2012-01-24,1.0,1.0
2012-01-25,1.0,1.0
2012-01-26,1.0,1.0
2012-01-27,1.0,1.0
2012-01-28,1.0,1.0
2012-01-29,1.0,1.0
2012-01-30,1.0356786816898307,1.043468268875655
2012-01-31,1.0169634789045308,1.026809839649213
2012-02-01,1.0063863266751951,1.0291120312586006
2012-02-02,1.0121751823837832,1.0362416175848441
2012-02-03,0.9999921272477081,1.0203629536282321
2012-02-04,1.0247488531793358,1.0126057731590388
2012-02-05,1.0,1.0
2012-02-06,1.0002476393500743,0.9912258365620533
2012-02-07,1.0073782247243703,0.9977696644761977
2012-02-08,1.0422484969898806,1.036232879952278
2012-02-09,0.9949946031301593,1.0103939664982273
2012-02-10,0.9968525996674609,1.0071951081984976
2012-02-11,1.0,1.0
2012-02-12,1.0,1.0
2012-02-13,1.01074872641547,1.0185990376210996
2012-02-14,0.9923669865680802,0.9953998307018447
2012-02-15,1.0126998042606823,1.0223561868808893
2012-02-16,0.966901783303788,0.9654879144834831
2012-02-17,0.9951516124262235,0.997432306790885
2012-02-18,1.0,1.0
2012-02-19,1.0,1.0
2012-02-20,1.0168398387659223,1.020266390638911
2012-02-21,1.0078564546719515,0.9834286078968165
2012-02-22,1.0123803750028935,1.0135891710144926
2012-02-23,0.9902318947154977,0.9999126600723104
2012-02-24,1.0001782416505274,0.9985302294759564
2012-02-25,1.0,1.0
2012-02-26,1.0,1.0
2012-02-27,1.0,1.0
2012-02-28,0.9969999999999999,0.9969999999999999
2012-02-29,1.0,1.0
2012-03-01,1.0,1.0
2012-03-02,1.0,1.0
2012-03-03,1.0,1.0
2012-03-04,1.0,1.0
2012-03-05,1.0,1.0
2012-03-06,1.0,1.0
2012-03-07,1.0,1.0
2012-03-08,1.0,1.0
2012-03-09,1.0,1.0
2012-03-10,1.0,1.0
2012-03-11,1.0,1.0
2012-03-12,1.0,1.0
2012-03-13,1.0,1.0
2012-03-14,1.0,1.0
2012-03-15,1.0,1.0
2012-03-16,1.0,1.0
2012-03-17,1.0,1.0
2012-03-18,1.0,1.0
2012-03-19,1.0,1.0
