,Date,low_adj,high_adj,open_adj,close_adj,volume,stock
3976,2016-08-04,8972.31,9035.25,9009.29,9024.71,3829779,Y9999
3977,2016-08-05,9023.23,9101.71,9025.76,9092.12,4226749,Y9999
3978,2016-08-08,9104.43,9153.99,9123.07,9150.26,4083690,Y9999
3979,2016-08-09,9127.63,9168.34,9154.0,9155.08,4066821,Y9999
3980,2016-08-10,9131.63,9200.42,9160.94,9200.42,4225760,Y9999
3981,2016-08-11,9063.81,9187.18,9168.7,9131.83,4760190,Y9999
3982,2016-08-12,9135.34,9173.72,9135.34,9150.39,4015197,Y9999
3983,2016-08-15,9117.26,9162.02,9152.36,9148.51,4100081,Y9999
3984,2016-08-16,9082.34,9165.58,9146.09,9110.36,4451022,Y9999
3985,2016-08-17,9073.27,9133.07,9121.18,9117.7,3978438,Y9999
3986,2016-08-18,9093.51,9128.8,9104.88,9122.5,4015535,Y9999
3987,2016-08-19,9034.27,9175.13,9139.69,9034.27,4388582,Y9999
3988,2016-08-22,8928.33,9012.72,9004.68,8981.81,3885584,Y9999
3989,2016-08-23,8986.76,9046.3,8987.07,9030.93,3836367,Y9999
3990,2016-08-24,9016.39,9054.76,9043.13,9017.38,3518670,Y9999
3991,2016-08-25,9031.34,9115.47,9034.47,9115.47,4269679,Y9999
3992,2016-08-26,9092.08,9131.72,9097.02,9131.72,3595701,Y9999
3993,2016-08-29,9027.35,9136.42,9117.53,9110.17,3794844,Y9999
3994,2016-08-30,9093.87,9134.37,9113.34,9110.56,3756596,Y9999
3995,2016-08-31,9044.5,9130.76,9122.19,9068.85,4267889,Y9999
3996,2016-09-01,8980.21,9069.13,9055.73,9001.15,4053283,Y9999
3997,2016-09-02,8958.81,9038.48,9015.63,8987.55,4303473,Y9999
3998,2016-09-05,9032.38,9100.05,9032.38,9090.13,3605627,Y9999
3999,2016-09-06,9098.6,9181.85,9102.83,9181.85,4111738,Y9999
4000,2016-09-07,9202.23,9278.88,9202.23,9259.07,4782818,Y9999
4001,2016-09-08,9224.89,9273.57,9241.95,9262.89,3981132,Y9999
4002,2016-09-09,9142.13,9217.37,9217.37,9164.88,3555480,Y9999
4003,2016-09-10,9025.53,9084.81,9084.81,9053.69,2966690,Y9999
4004,2016-09-12,8947.06,9031.51,9031.51,8947.06,3634678,Y9999
4005,2016-09-13,8885.55,9014.75,8983.95,8940.83,3839352,Y9999
4006,2016-09-14,8895.85,8965.32,8913.11,8902.3,3287147,Y9999
4007,2016-09-19,9003.41,9155.38,9003.41,9152.88,4055905,Y9999
4008,2016-09-20,9130.9,9173.46,9141.21,9161.58,3637156,Y9999
4009,2016-09-21,9133.16,9228.5,9141.92,9228.5,3855290,Y9999
4010,2016-09-22,9207.41,9290.76,9265.28,9235.26,3664350,Y9999
4011,2016-09-23,9228.66,9284.62,9240.25,9284.62,3223134,Y9999
