,Date,DailyReturn,AccReturn
3918,2016-05-12,0.007555080921599441,0.4109887336146084
3919,2016-05-13,-0.008076148670553764,0.40766952750001423
3920,2016-05-16,-0.012765074209877955,0.40246559572837065
3921,2016-05-17,-0.0010160811138543498,0.40205665803757495
3922,2016-05-18,-0.0005742293465520847,0.40182578530555313
3923,2016-05-19,0.006774725275604026,0.4045480446096521
3924,2016-05-20,0.0012019065479567789,0.4050342735534315
3925,2016-05-23,0.001722395085482515,0.40573190259565195
3926,2016-05-24,-0.013606258008528268,0.4002114096466445
3927,2016-05-25,0.0025100288209164365,0.40121595181931713
3928,2016-05-26,-0.008790096665493102,0.3976892248190875
3929,2016-05-27,0.004296944275232089,0.39939807325699533
3930,2016-05-30,-0.0030826928419658613,0.39816685167547106
3931,2016-05-31,-0.004358555333354807,0.39643141942053584
3932,2016-06-01,0.013061141636189799,0.40160926633862326
3933,2016-06-02,0.010046115266258263,0.4056438793202585
3934,2016-06-03,0.0013184062339051117,0.4061786827394998
3935,2016-06-04,-0.0011596806078969823,0.4057076451977857
3936,2016-06-06,0.00786931053502459,0.4089002846442806
3937,2016-06-07,0.0026803979908868233,0.4099963001457142
3938,2016-06-08,0.007753770022218364,0.41317531716700445
3939,2016-06-13,-0.010605785935992833,0.4087932681990953
3940,2016-06-14,0.0028927684696220244,0.4099758124759354
3941,2016-06-15,0.0007624845869781925,0.4102884127139822
3942,2016-06-16,-0.00830589344374993,0.4068806008767746
3943,2016-06-17,0.005633516029085739,0.4091727692637379
3944,2016-06-20,-0.004091007247399174,0.40749884049924157
3945,2016-06-21,0.004170865644731185,0.40919846341334765
3946,2016-06-22,-0.0014179648417641869,0.4086182343789236
3947,2016-06-23,0.0016376028484146729,0.40928738876345666
3948,2016-06-24,0.011365338503937557,0.41393907848214606
3949,2016-06-27,-0.005629826212467206,0.41160867340774276
3950,2016-06-28,0.0006346613234092871,0.4118699055131345
3951,2016-06-29,0.0032906037529891108,0.41322520616995934
3952,2016-06-30,0.004676231006172276,0.4151575426915832
3953,2016-07-01,0.018893964142711914,0.4230015144167744
3954,2016-07-04,0.0013409205579654987,0.4235687258435064
3955,2016-07-05,-0.014974061591680899,0.41722618165441594
3956,2016-07-06,-0.007053219160173482,0.414283393955845
3957,2016-07-07,0.00845077405201,0.41778440931166566
3958,2016-07-11,0.010703580506730197,0.4222561983711898
3959,2016-07-12,0.005920773780648728,0.42475628179922237
3960,2016-07-13,-0.008863697100427677,0.42099137077585014
3961,2016-07-14,-0.005934400874970467,0.41849303921676295
3962,2016-07-15,0.0008345232252985717,0.41884228137761514
3963,2016-07-18,-0.0057893088016571495,0.41641747407152957
3964,2016-07-19,0.007999591527332477,0.4197486437689454
3965,2016-07-20,0.00027429302623682445,0.4198637778947035
3966,2016-07-21,0.0005633692430171752,0.42010031623342636
3967,2016-07-22,-0.005076529826892114,0.41796766444778055
3968,2016-07-25,0.004457657927675283,0.41983082132071814
3969,2016-07-26,-0.0075723047344855845,0.4166517344047483
3970,2016-07-27,0.009275895162348108,0.4205165522122973
3971,2016-07-28,0.006902823738521663,0.42341930385134957
3972,2016-07-29,-0.0136181022449158,0.41765313647903085
3973,2016-08-01,0.004050685915066394,0.4193449181563498
3974,2016-08-02,0.0017676015815324428,0.42008615289689055
3975,2016-08-03,-0.0043134237568128635,0.418274143305077
3976,2016-08-04,0.0027493948921600933,0.41942414409820267
3977,2016-08-05,0.010205467737504777,0.4237045636691274
3978,2016-08-08,0.010831264102630097,0.42829381969971736
3979,2016-08-09,0.010805339126936892,0.43292167966754397
3980,2016-08-10,0.009342542827190974,0.43696626900065744
3981,2016-08-11,-0.004361557753468089,0.43506041538209356
3982,2016-08-12,-0.00013049017457317583,0.43500364427254046
3983,2016-08-15,0.0020785285431676524,0.43590781176354293
